Pregunta;Opcion A;Opcion B;Opcion C;Respuesta Correcta;Bloque;Tema;Feedback
¿Pueden ser los bomberos o miembros del personal sanitario o equipos de socorro,  sujetos pasivos de un delito de desobediencia?;Solo cuando estuvieran interviniendo con ocasión de un siniestro, calamidad pública o situación de emergencia, con la finalidad de impedirles el ejercicio de sus funciones;Cuando fueren agredidos en el ejercicio de sus funciones;En ningún caso;c;1;19;Artículo 556. 1. Serán castigados con la pena de prisión de tres meses a un año o multa de seis a dieciocho meses, los que, sin estar comprendidos en el artículo 550, resistieren o desobedecieren gravemente a la autoridad o sus agentes en el ejercicio de sus funciones, o al personal de seguridad privada, debidamente identificado, que desarrolle actividades de seguridad privada en cooperación y bajo el mando de las Fuerzas y Cuerpos de Seguridad. 2. Los que faltaren al respeto y consideración debida a la autoridad, en el ejercicio de sus funciones, serán castigados con la pena de multa de uno a tres meses.
El secreto de las comunicaciones viene regulado en:;Art. 20 de la Constitución;Art. 19 de la Constitución;Art. 18 de la Constitución;c;1;20;"Se garantiza el derecho al honor, a la intimidad personal y familiar y a la propia imagen.

El domicilio es inviolable. Ninguna entrada o registro podrá hacerse en él sin consentimiento del titular o resolución judicial, salvo en caso de flagrante delito.

Se garantiza el secreto de las comunicaciones y, en especial, de las postales, telegráficas y telefónicas, salvo resolución judicial.

La ley limitará el uso de la informática para garantizar el honor y la intimidad personal y familiar de los ciudadanos y el pleno ejercicio de sus derechos.
"
Los primeros intervinientes en la cadena de custodia de una prueba judicial son:;Los Policías;El Secretario Judicial;Los abogados;a;1;20;"La STS 491/2016 de 8 de junio cuando dispone que «la cadena de custodia es el proceso transcurrido entre que los agentes de la policía intervienen un efecto del delito que puede servir como
prueba de cargo, hasta que se procede a su análisis, exposición o examen en la instrucción o
en el juicio»."
Es un delito competencia del tribunal del jurado:;Tentativa de homicidio;Tráfico de influencias;Infidelidad de custodia de detenidos;b;1;21;"Dentro del ámbito de enjuiciamiento previsto en el apartado anterior, el Tribunal del
Jurado será competente para el conocimiento y fallo de las causas por los delitos tipificados en los siguientes preceptos del Código Penal:
a. Del homicidio (artículos 138 a 140).
b. De las amenazas (artículo 169.1).
c. De la omisión del deber de socorro (artículos 195 y 196).
d. Del allanamiento de morada (artículos 202 y 204).
e. De la infidelidad en la custodia de documentos (artículos 413 a 415).
f. Del cohecho (artículos 419 a 426).
g. Del tráfico de influencias (artículos 428 a 430).
h. De la malversación de caudales públicos (artículos 432 a 434).
i. De los fraudes y exacciones ilegales (artículos 436 a 438).
j. De las negociaciones prohibidas a funcionarios (artículos 439 y 440).
k. De la infidelidad en la custodia de presos (artículo 471)."
La demarcación de las Secciones de Instrucción es:;El Partido Judicial;La Provincia;El Municipio;a;1;21;Con carácter general, en los Tribunales de Instancia, las Secciones Civiles y de Instrucción que constituyan una Sección Única o bien actúen por separado extenderán su jurisdicción a un partido judicial. Su demarcación es el partido judicial y su sede se encuentra en el municipio que sea cabeza del partido. Puede haber más de una Sección de Instrucción en el partido judicial, en función del volumen de trabajo.
Están exentos del deber general de denunciar (LeCrim):;Los menores de 16 años;Los menores de edad ;Los menores de 21 años;b;1;21;"Están exentos de este deber general de denunciar las siguientes personas:
- Los menores e incapaces (art. 260 LECrim).
-
  El cónyuge y otros familiares del denunciado, en los términos del art. 261 LECrim. En concreto, están exentos del deber de denunciar el cónyuge del delincuente no separado legalmente o de hecho o la persona que conviva con él en análoga relación de afectividad, así como los ascendientes y descendientes del delincuente y sus parientes colaterales hasta el segundo grado inclusive.
-
  Los abogados y procuradores, así como los eclesiásticos y ministros religiosos por los hechos de que tengan noticia en el ejercicio de sus funciones (art. 263 LECrim)."
SI la persona se niega a realizar la reseña se realizará (ISES 1/2024):;Pidiendo autorización judicial;Se realizará de forma coactiva;No se realiza la reseña;b;1;21;"Plan Nacional de Identificación de Detenidos (PNID) señalado, para ello se procederá:
1. Inicio del protocolo de identificación.
2.   Una vez se efectúe esa comprobación previa, se llevará a cabo la reseña completa y la
captación de imagen de la persona detenida.
3.   Los impresos del Plan Nacional de identificación de Detenidos, debidamente cumplimentados, se remitirán como parte del atestado policial a la AJ competente.
4.   Si la persona detenida se negara a la práctica de la reseña se procederá a obtenerla de forma coactiva si fuese preciso, siempre en la forma que menos le perjudique, no siendo
necesario solicitar autorización judicial por considerarse que no se trata de una diligencia restrictiva de derechos fundamentales.
5.   Quedará contenida en las bases de datos policiales correspondientes, y se incluirán los datos biográficos, impresiones decadactilares y fotografía. Resulta de interés reflejar los datos antropométricos (rasgos físicos observables o medibles: estatura, complexión, color de ojos, color de pelo, tatuajes y cicatrices visibles, malformaciones congénitas, amputaciones, etc.).
6   Por parte de las unidades competentes de la Policía Nacional se impartirán las instrucciones precisas para la correcta aplicación de las normas relativas a la reseña policial de la persona detenida y al procedimiento interno a seguir."
Ley 4/2015, de 27 de abril, del Estatuto de la víctima del delito. Artículo 27. Organización de las Oficinas de Asistencia a las Víctimas. (Señalar la respuesta correcta):;El Gobierno y las Comunidades Autónomas que hayan asumido competencias en materia de Justicia organizarán, en el ámbito que les es propio, Oficinas de Asistencia a las Víctimas;El Ministerio del Interior o las Comunidades Autónomas podrán celebrar convenios de colaboración con entidades públicas y privadas, sin ánimo de lucro, para prestar los servicios de asistencia y apoyo a que se refiere esta Ley;Ambas son correctas;a;1;22;Artículo 27.1 de la Ley 4/2015, del Estatuto de la Víctima del Delito, establece que el Gobierno y las Comunidades Autónomas que hayan asumido competencias en materia de Justicia deberán organizar Oficinas de Asistencia a las Víctimas, dentro de su respectivo ámbito competencial. Estas oficinas prestan atención integral a las víctimas del delito, y su creación es una obligación institucional para garantizar sus derechos.
Ley 4/2015, de 27 de abril, del Estatuto de la víctima del delito. Las víctimas podrán acceder a servicios de justicia restaurativa, en los términos que reglamentariamente se determinen, con la finalidad de obtener una adecuada reparación material y moral de los perjuicios derivados del delito, cuando se cumplan, entre otros, los siguientes requisitos, (indique la incorrecta):;) El infractor haya o no reconocido los hechos esenciales de los que deriva su responsabilidad;La víctima haya prestado su consentimiento, después de haber recibido información exhaustiva e imparcial sobre su contenido, sus posibles resultados y los procedimientos existentes para hacer efectivo su cumplimiento;El infractor haya prestado su consentimiento;a;1;22;Artículo 15 de la Ley 4/2015, del Estatuto de la Víctima del Delito, señala que el acceso a los servicios de justicia restaurativa solo será posible si ambas partes (víctima e infractor) han prestado su consentimiento y el infractor ha reconocido los hechos esenciales que fundamentan su responsabilidad penal. Por tanto, la opción a) es incorrecta, ya que el reconocimiento de los hechos por parte del infractor es un requisito imprescindible para iniciar el proceso.
Ley Orgánica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres. El Gobierno elaborará un informe periódico sobre el conjunto de sus actuaciones en relación con la efectividad del principio de igualdad entre mujeres y hombres. De este informe se dará cuenta:;Al Consejo de Participación de la Mujer;A las Cortes Generales y a las Comunidades Autónomas con competencia en la materia;A las Cortes Generales;c;1;23;Según el artículo 18.1 de la Ley Orgánica 3/2007, el Gobierno debe elaborar periódicamente un informe sobre la efectividad del principio de igualdad entre mujeres y hombres, y dar cuenta de él únicamente a las Cortes Generales. Este mecanismo permite ejercer el control parlamentario sobre las políticas públicas de igualdad desarrolladas por el Ejecutivo.
Se constituirá, como órgano colegiado adscrito al Ministerio de Trabajo y Asuntos Sociales , al que corresponderá el asesoramiento, evaluación, colaboración institucional, elaboración de informes y estudios, y propuestas de actuación en materia de violencia de género:;El Observatorio Estatal de Violencia sobre la Mujer;La Delegación del Gobierno contra la Violencia de Género;El Consejo Interterritorial del Sistema Nacional de Salud;a;1;23;Artículo 30 de la Ley Orgánica 1/2004, se crea el Observatorio Estatal de Violencia sobre la Mujer como órgano colegiado de carácter consultivo, encargado de realizar funciones de asesoramiento, evaluación y propuesta de medidas en materia de violencia de género. Este órgano es clave para coordinar y analizar las políticas públicas destinadas a la erradicación de esta violencia.
Ley 39/2006, de 14 de diciembre, de Promoción de la Autonomía Personal y Atención a las personas en situación de dependencia. Serán órganos consultivos de participación institucional del Sistema para la Autonomía y Atención a la Dependencia los siguientes:;El Comité Consultivo del Sistema para la Autonomía y Atención a la Dependencia y El Consejo Estatal de Personas Mayores;El Consejo Nacional de la Discapacidad y El Consejo Estatal de Organizaciones no Gubernamentales de Acción Social;Ambas respuestas son correctas;c;1;23;Artículo 11 de la Ley 39/2006 reconoce como órganos consultivos de participación institucional del Sistema para la Autonomía y Atención a la Dependencia tanto al Comité Consultivo, como a otros órganos como el Consejo Estatal de Personas Mayores, el Consejo Nacional de la Discapacidad y el Consejo Estatal de ONG de Acción Social. Todos ellos contribuyen a garantizar una representación plural y participativa en la gestión del sistema.
La función de asesoramiento técnico en la elaboración de la normativa legal sobre prevención de riesgos laborales, y en el desarrollo de la normalización, tanto a nivel nacional como internacional, corresponde a:;La Comisión Nacional de Seguridad y Salud en el Trabajo;La Inspección de Trabajo y Seguridad Social;El Instituto Nacional de Seguridad y Salud en el Trabajo;c;1;24;Artículo 8 de la Ley 31/1995, de Prevención de Riesgos Laborales, el Instituto Nacional de Seguridad y Salud en el Trabajo (INSST) es el órgano científico-técnico especializado, encargado de asesorar técnicamente en la elaboración de normativa y en la normalización técnica, tanto a nivel nacional como en cooperación internacional. Esta función lo convierte en una pieza clave para garantizar la calidad técnica del marco normativo en materia de prevención.
Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales. Se entenderá como servicio de prevención:;Cualquier equipo destinado a ser llevado o sujetado por el trabajador para que le proteja de uno o varios riesgos que puedan amenazar su seguridad o su salud en el trabajo, así como cualquier complemento o accesorio destinado a tal fin;El conjunto de medios humanos y materiales necesarios para realizar las actividades preventivas a fin de garantizar la adecuada protección de la seguridad y la salud de los trabajadores, asesorando y asistiendo para ello al empresario, a los trabajadores y a sus representantes y a los órganos de representación especializados;) El conjunto de actividades o medidas adoptadas o previstas en todas las fases de actividad de la empresa con el fin de evitar o disminuir los riesgos derivados del trabajo;b;1;25;Artículo 31.2 de la Ley 31/1995, de Prevención de Riesgos Laborales, se entiende por servicio de prevención el conjunto de medios humanos y materiales organizados por el empresario con el fin de llevar a cabo las actividades necesarias para prevenir los riesgos laborales. Su función principal es la de asesorar y asistir tanto al empresario como a los trabajadores y a sus representantes en todo lo relacionado con la seguridad y la salud en el trabajo.
Real Decreto 39/1997, de 17 de enero, por el que se aprueba el Reglamento de los Servicios de Prevención. A efectos de determinación de las capacidades y aptitudes necesarias para la evaluación de los riesgos y el desarrollo de la actividad preventiva, las funciones a realizar se clasifican en los siguientes grupos:;Funciones de nivel primario;Funciones de nivel secundario;Funciones de nivel superior, correspondientes a las especialidades y disciplinas preventivas de medicina del trabajo, seguridad en el trabajo, higiene industrial, y ergonomía y psicosociología aplicada;c;1;25;Artículo 37 del Real Decreto 39/1997, las funciones preventivas se clasifican en nivel básico, intermedio y superior, siendo este último el que corresponde a las especialidades y disciplinas técnicas y científicas como la medicina del trabajo, seguridad, higiene industrial, ergonomía y psicosociología aplicada. Estas funciones requieren una formación específica y habilitación para realizar evaluaciones complejas y asumir responsabilidades técnicas.
Real Decreto 2/2006, de 16 de enero, por el que se establecen normas sobre prevención de riesgos laborales en la actividad de los funcionarios del Cuerpo Nacional de Policía. Artículo 11. Medidas de protección de la maternidad:;Las funcionarias del Cuerpo Nacional de Policía, durante los periodos de gestación, maternidad y lactancia, tendrán la adecuada protección en sus condiciones de trabajo, en orden a evitar situaciones de riesgo, tanto para su propia seguridad y salud como para las del feto o lactante, debiendo adoptarse con este fin las medidas necesarias. Al objeto de posibilitar la adopción de tales medidas, las interesadas no deberán comunicar su estado de gestación o lactancia a través de la unidad en que presten sus servicios;Cuando los informes médicos así lo aconsejen, a las referidas funcionarias se les adecuarán sus condiciones de trabajo, eximiéndoles del trabajo si fuera necesario, conservando el derecho al conjunto de las retribuciones de su puesto de origen, mientras persistan las circunstancias que hubieran motivado tal situación;Durante los indicados periodos de gestación y lactancia, las funcionarias no manejarán máquinas, aparatos, utensilios, instrumentos de trabajo, sustancias u otros elementos que, de acuerdo con los informes médicos correspondientes, puedan resultar perjudiciales para el normal desarrollo del embarazo o la lactancia;c;1;25;Artículo 11.3 del Real Decreto 2/2006, sobre prevención de riesgos laborales en el Cuerpo Nacional de Policía, establece expresamente que durante los períodos de gestación y lactancia, las funcionarias no manejarán equipos ni sustancias que puedan resultar perjudiciales para el embarazo o la lactancia. Esta medida tiene como objetivo prevenir cualquier riesgo para la salud del feto o del lactante, garantizando un entorno laboral seguro.
Ley Orgánica 3/2018, de 5 de diciembre, de Protección de Datos Personales y garantía de los derechos digitales. Artículo 81. Derecho de acceso universal a Internet. Indique la respuesta correcta:;) Todos tienen derecho a acceder a Internet independientemente de su condición personal, social, económica o geográfica;Se garantizará un acceso universal, asequible, de calidad y no discriminatorio para toda la población, con las excepciones que el Gobierno establezca;El acceso a Internet de hombres y mujeres procurará la superación de la brecha de género tanto en el ámbito personal como laboral;b;1;26;Artículo 81 de la Ley Orgánica 3/2018 reconoce el derecho de acceso universal a Internet como un derecho fundamental, estableciendo que dicho acceso debe ser universal, asequible, de calidad y no discriminatorio, sin excepciones establecidas por el Gobierno. Además, subraya la importancia de superar la brecha de género en el uso y acceso a las tecnologías digitales. Por tanto, la opción b) es incorrecta, ya que introduce una excepción que no está prevista en la norma.
Ley Orgánica 7/2021, de 26 de mayo, de protección de datos personales tratados para fines de prevención, detección, investigación y enjuiciamiento de infracciones penales y de ejecución de sanciones penales. Plazos de conservación y revisión:;El responsable del tratamiento deberá revisar la necesidad de conservar, limitar o suprimir el conjunto de los datos personales contenidos en cada una de las actividades de tratamiento bajo su responsabilidad, como máximo cada tres años;Con carácter general, el plazo máximo para la supresión de los datos será de veinte años, salvo que concurran factores como la existencia de investigaciones abiertas o delitos que no hayan prescrito, entre otros;Ambas son correctas;c;1;26;Artículo 17 de la Ley Orgánica 7/2021 regula los plazos de conservación y revisión de los datos personales tratados con fines penales. En él se establece que el responsable del tratamiento deberá realizar una revisión como máximo cada tres años, y que el plazo general de supresión de los datos será de veinte años, salvo causas justificadas como investigaciones abiertas o delitos no prescritos
La capacidad de los derechos humanos que sean adquiridos desde el nacimiento y no se puedan arrebatar es:;Imprescriptibles;Irrenunciables;Inalienables;a;1;27;"Por lo que las características de los Derechos Humanos son:
u Universales: todo ser humano los posee en el mismo grado de igualdad.
u Imprescriptibles: adquiridos desde el nacimiento no pudiendo ser arrebatados.
u Inalienables e indivisibles: no se pueden perder.
u Irrenunciables: no se permite que alguien prescinda de ellos.
u Históricos: recogen el deseo de justicia de la humanidad."
La detención arbitraria viene indicada en la Declaración de los Derechos Humanos, exactamente en el artículo:;7;8;9;c;1;27;Artículo 9. Nadie podrá ser arbitrariamente detenido, preso ni desterrado.
El Subcomité para la Prevención se reunirá:;2 veces al año;1 vez al año;Las veces que determine su reglamento;c;1;27;"Los miembros del Subcomité para la Prevención ejercerán sus funciones a título personal, actuarán con independencia e imparcialidad y deberán estar disponibles para prestar servicios
con eficacia en el Subcomité para la Prevención. El Subcomité para la Prevención se reunirá en las ocasiones que determine su reglamento, si bien al menos una vez al año debe coincidir con el Comité contra la Tortura. Sus sesiones, que serán privadas, se considerarán constituidas cuando asistan al menos la mitad más uno de sus miembros y las decisiones se tomarán por mayoría de votos de los miembros presentes. La mesa del Subcomité será elegida por sus miembros por un mandato de dos años reelegibles."
Las sesiones del Subcomité serán:;Secretas;Privadas;Confidenciales;b;1;27;"Los miembros del Subcomité para la Prevención ejercerán sus funciones a título personal, actuarán con independencia e imparcialidad y deberán estar disponibles para prestar servicios
con eficacia en el Subcomité para la Prevención. El Subcomité para la Prevención se reunirá en las ocasiones que determine su reglamento, si bien al menos una vez al año debe coincidir con el Comité contra la Tortura. Sus sesiones, que serán privadas, se considerarán constituidas cuando asistan al menos la mitad más uno de sus miembros y las decisiones se tomarán por mayoría de votos de los miembros presentes. La mesa del Subcomité será elegida por sus miembros por un mandato de dos años reelegibles."
"El Foro Social Mundial se compone de 3 pilares fundamentales; el Consejo Internacional, la Secretaría y además:";La Comisión del FSM;El Comité de las Regiones;Los Comités organizadores de cada evento anual;c;2;35;"El Foro Social Mundial (FSM), como espacio de encuentro de movimientos sociales, ONGs y redes ciudadanas, se estructura sobre tres pilares principales:

El Consejo Internacional, que orienta y da seguimiento político al proceso.
La Secretaría, que coordina y da apoyo logístico.
Y los Comités organizadores de cada evento, que se encargan de preparar y ejecutar cada edición del Foro, garantizando su autonomía y descentralización. Esta estructura facilita la participación plural y horizontal de los actores sociales."
En lo relativo al sistema PEN (Psicoticismo, Extraversión y Neuroticismo), es correcto afirmar que:;Los introvertidos necesitan de una mayor estimulación para que se active su Sistema Nervioso Central;En lo relativo a la dimensión Extraversión-lntraversión, el autor se basó en los constructos ideados por Edward Thorndike sobre el Condicionamiento Operante;Este sistema representa un modelo causal de la personalidad de corte biologicista;c;2;29; El modelo PEN fue desarrollado por Hans Eysenck y postula que la personalidad humana puede describirse en tres dimensiones amplias: Psicoticismo, Extraversión e Inestabilidad emocional (Neuroticismo). Este enfoque es de base biologicista, ya que atribuye diferencias individuales en la personalidad a factores genéticos y fisiológicos, como la actividad del sistema nervioso central y autónomo. Eysenck consideraba que estos rasgos tenían una causa biológica y eran estables en el tiempo.
Según Eysenck, las personas introvertidas: ;Tienen umbrales de activación altos en el Sistema de Activación Reticular Ascendente;Necesitan poca estimulación sensorial para sentirse bien;No presentan niveles de activación cortical crónicamente elevados;b;2;29;Según la teoría de la personalidad de Hans Eysenck, las personas introvertidas tienen una activación cortical basal más alta (particularmente en el Sistema de Activación Reticular Ascendente, SARA), lo que les lleva a evitar situaciones excesivamente estimulantes. Por tanto, requieren menos estimulación sensorial externa para alcanzar un nivel óptimo de activación, en contraste con los extrovertidos, que buscan más estimulación debido a su menor activación basal.
¿Cuál de los siguientes autores desarrollaron la principal teoría de la personalidad?: ;Robert K. Merton;F. Tonnies. ;Allport. ;c;2;30;Gordon Allport fue uno de los padres de la psicología de la personalidad, y su obra marcó un antes y un después en el estudio de las diferencias individuales. Desarrolló la teoría de los rasgos y propuso que la personalidad se compone de un conjunto de rasgos únicos que definen a cada persona. Su enfoque fue pionero en establecer la personalidad como objeto de estudio psicológico autónomo, diferenciándose de explicaciones reduccionistas o sociológicas, como las de Merton o Tönnies.
Los psicópatas, a diferencia de los psicóticos: ;Presentan con frecuencia pérdida de contacto con la realidad, comportamiento irracional y sentimiento de culpa;Son racionales, no tienen sentimiento de culpa y no experimentan ansiedad;Ninguna es correcta;b;2;30;A diferencia de los psicóticos, que pueden sufrir alucinaciones, delirios y pérdida del contacto con la realidad, los psicópatas suelen ser racionales, fríos y emocionalmente superficiales, lo que les permite manipular sin empatía ni remordimiento. No presentan trastornos perceptivos ni delirantes, pero sí una marcada ausencia de culpa, empatía y ansiedad, lo cual está en el núcleo de los trastornos de la personalidad antisocial.
El temor constante de padecer enfermedad e interpretación errónea de dolores y molestias normales se denomina: ;Hipocondría;Trastorno por conversión;Superenfermería;a;2;29;La hipocondría, actualmente denominada trastorno de ansiedad por enfermedad según el DSM-5, se caracteriza por una preocupación excesiva y persistente por la posibilidad de padecer una enfermedad grave, a pesar de no existir evidencias médicas que lo confirmen. Las personas hipocondríacas suelen malinterpretar sensaciones corporales normales como signos de una afección grave, lo que les genera gran ansiedad y conductas de comprobación médica constantes.
La escala que se encarga de medir los diferentes grados de cercanía, calidez, hostilidad, indiferencia o intimidad de las personas hacia los miembros de diversos grupos sociales, étnicos o raciales fue desarrollada por: ;Louis Leon Thurstone;Emory Bogardus;Rensis Likert;b;2;29;La Escala de Distancia Social de Bogardus, desarrollada por Emory Bogardus, mide el grado de aceptación o rechazo que una persona siente hacia miembros de distintos grupos sociales, étnicos o raciales. Esta escala ha sido muy utilizada en estudios de prejuicio y discriminación, ya que permite cuantificar el nivel de cercanía que una persona estaría dispuesta a aceptar con respecto a individuos de otros grupos, desde compartir vecindario hasta emparentar.
El Movimiento de Resistencia Global (MRG) es un movimiento antiglobalización de rechazo al capitalismo y modelo socioeconómico neoliberal que tiene, entre otros objetivos: ;La condonación de la Tasa Tobin a los países más pobres;La creación de la Tasa Tobin o impuesto a las transacciones financieras;El pago efectivo de la Tasa Tobin por las multinacionales para invertirlo en energías renovables;b;2;31;El Movimiento de Resistencia Global (MRG) forma parte de los llamados movimientos antiglobalización, críticos con los efectos del capitalismo neoliberal. Uno de sus planteamientos más conocidos es el apoyo a la Tasa Tobin, un impuesto propuesto por el economista James Tobin para gravar las transacciones financieras internacionales. El objetivo es frenar la especulación y redistribuir los fondos recaudados en políticas sociales y solidarias, especialmente hacia países empobrecidos.
¿Quién acuñó por primera vez el término de anomia? ;Merton;Durkheim;Sutherland;b;2;33;El término anomia fue acuñado por primera vez por el sociólogo Émile Durkheim, quien lo utilizó para describir una situación social en la que las normas que regulan la conducta pierden su fuerza o claridad, provocando desorientación y desintegración social. Posteriormente, Robert K. Merton retomó el concepto para desarrollar su teoría sobre la desviación social, pero el origen del término y su aplicación inicial pertenece a la obra de Durkheim, especialmente en El suicidio (1897).
El proceso por el que las zonas rurales más cercanas a las ciudades crecen y se convierten en urbanas es:;Ciudad difusa;Gentrificación;Urbanización;a;2;32;" Rururbanización o ciudad difusa: es el proceso por el que las ciudades crecen y las zonas
rurales más próximas a ésta se convierten en urbanas."
Según el autor Charles Horton Cooley los grupos sociales se dividen en: ;De referencia y pertenencia;Primarios y secundarios;lntragrupos y extragrupos;b;2;32;Charles Horton Cooley fue un sociólogo estadounidense que introdujo el concepto de grupos primarios y secundarios en su obra Social Organization (1909). Los grupos primarios son aquellos donde predominan las relaciones personales, afectivas y duraderas, como la familia o los amigos íntimos. En cambio, los grupos secundarios se caracterizan por relaciones más impersonales y funcionales, como las que se dan en el ámbito laboral o institucional.
Autor que explicó el comportamiento, en relación a su condición física denominando las diferentes constituciones como mesomorfo, ectomorfo y endomorfo:;Krestschmer;Hooton;Sheldon;c;2;33;"l psicólogo William H. Sheldon desarrolló una teoría que relacionaba el tipo corporal (somatotipo) con determinados rasgos de personalidad. Propuso tres tipos básicos:

Endomorfo: redondeado y sociable,
Mesomorfo: musculoso y activo,
Ectomorfo: delgado e introvertido.
Esta teoría se considera precursora de enfoques biopsicológicos sobre la personalidad, aunque sus postulados carecen hoy de validez científica robusta."
La desviación de la conducta de una norma no es inherente a un acto concreto, sino un reflejo de la mayoría social que lo considera negativo, se conoce como:;Teoría del etiquetamiento ;Teoría de la frustración;Teoría del odio;a;2;33;Enfoque del etiquetamiento (Labeling Approach) Teoría desarrollada por los sociólogos Edwin Lemert y Howard Becker. Sostienen que la desviación de la conducta de una norma no es inherente a un acto concreto, sino un reflejo de la mayoría social que lo considera negativo.
Según el Observatorio Español de las Drogas y las Adicciones (OEDA) y el Plan Nacional sobre Drogas, ¿cuál es la sustancia psicoactiva más consumida en España entre la población general (15-64 años)?;Cocaína;Cannabis;Alcohol;c;2;34;El alcohol continúa siendo la sustancia psicoactiva más consumida en España, según la Encuesta sobre Alcohol y Drogas en España (EDADES) del Ministerio de Sanidad. Le siguen el tabaco y el cannabis. Este patrón se mantiene estable en los últimos años, aunque se observa un ligero repunte del consumo de cannabis entre jóvenes. El consumo de alcohol está socialmente normalizado, lo que plantea importantes retos preventivos en salud pública.
¿Cuál es el principio activo de la heroína y cómo se obtiene químicamente?;La heroína es metanfetamina sintetizada a partir de la diacetilmorfina; La heroína es un derivado semisintético de la morfina, obtenida a partir del opio;La heroína es un alcaloide natural de la hoja de coca refinado con éter;b;2;34;La heroína (diacetilmorfina) es un opiáceo semisintético que se obtiene a partir de la morfina, un alcaloide natural presente en el opio, que se extrae de la planta Papaver somniferum (adormidera). Su potencia analgésica y euforizante es muy superior a la de la morfina, lo que la convierte en una sustancia con alto poder adictivo. Su producción ilegal y consumo están prohibidos en España y regulados por el Convenio de Estupefacientes de 1961 y por la legislación nacional en materia de drogas.
Según el artículo 22 de la Ley 42/2007, de 13 de diciembre, del Patrimonio Natural y de la Biodiversidad, ¿cuál de las siguientes opciones define correctamente un parque natural?;Área natural delimitada por la comunidad autónoma que reúne condiciones para el desarrollo urbano sostenible y turismo ecológico de baja densidad;Espacio natural que, en razón de la belleza de su paisaje y potencial turístico, ha sido declarado de interés regional con independencia de su estado de conservación;Espacio natural que, en razón de la representatividad de sus ecosistemas, su grado de conservación o la singularidad de su flora, fauna o gea, merece una atención preferente para su conservación, siendo compatible con el aprovechamiento ordenado de sus recursos;c;2;35;Según el artículo 22.3 de la Ley 42/2007, los parques naturales son espacios naturales que por sus características ecológicas, su conservación o la singularidad de su flora, fauna o gea merecen una atención preferente, y cuya finalidad es compatibilizar su conservación con el aprovechamiento ordenado de sus recursos. La declaración de parque natural corresponde a las comunidades autónomas, y deben contar con un plan de ordenación de los recursos naturales (PORN) y plan de gestión
¿Cuál de las siguientes oraciones contiene una subordinada sustantiva en función de sujeto?;Me alegra que hayas aprobado el examen;Salieron corriendo cuando escucharon el disparo;No sabían dónde estaba la estación más cercana;a;2;36;"En la oración ""Me alegra que hayas aprobado el examen"", la proposición subordinada ""que hayas aprobado el examen"" es sustantiva y funciona como sujeto de la oración principal, ya que lo que ""me alegra"" es precisamente eso. Las subordinadas sustantivas pueden ocupar las funciones propias de un sustantivo: sujeto, complemento directo, término de preposición, etc. Se suelen introducir por ""que"" o por pronombres interrogativos y exclamativos."
¿Cuál de las siguientes palabras está escrita correctamente según la normativa ortográfica actual de la RAE?;Exámen;Beneficiencia;Inaudito;c;2;37;"La única opción correctamente escrita es ""inaudito"", que significa ""nunca oído"" o ""sorprendente"".
""Exámen"" es incorrecta porque la palabra es llana y termina en n, por lo tanto no lleva tilde: se escribe ""examen"".
""Beneficiencia"" es una forma incorrecta e inexistente: la palabra adecuada es ""beneficencia"", con una sola ""en"" intermedia."
Un Plotter es un hardware de:;Entrada;Salida;Ninguna es correcta;b;3;38;Un plotter es un periférico de impresión utilizado principalmente para dibujar gráficos, planos o diseños técnicos de gran precisión y tamaño, como los utilizados en arquitectura, ingeniería, diseño gráfico o cartografía.
¿Cuál de los siguientes tipos de sistemas operativos está diseñado para ejecutar múltiples tareas de forma simultánea y responder en un tiempo limitado y predecible?;Sistema operativo distribuido;Sistema operativo de tiempo real;Sistema operativo batch (por lotes);b;3;38;"Los sistemas operativos de tiempo real (RTOS) están diseñados para garantizar respuestas inmediatas y deterministas ante eventos externos. Se usan en sistemas embebidos, controladores industriales, robótica, aeronáutica o dispositivos médicos. La predictibilidad y el cumplimiento estricto de los tiempos de respuesta son sus principales características.

Los sistemas por lotes ejecutan tareas sin interacción del usuario.
Los sistemas distribuidos gestionan múltiples computadoras interconectadas como si fueran una sola."
¿Cuál de las siguientes redes se utiliza para conectar varias redes locales distribuidas en distintas ciudades o países?;LAN (Local Area Network);MAN (Metropolitan Area Network);WAN (Wide Area Network);c;3;39;"Una WAN es una red de área amplia, diseñada para conectar múltiples LAN o MAN a través de grandes distancias geográficas, incluso entre países o continentes.

Las LAN son redes locales, como las de un hogar o una oficina.
Las MAN abarcan zonas urbanas o campus universitarios, conectando varias LAN dentro de un área metropolitana."
Indique la opción correcta en relación a los siguientes protocolos:;HTTPS – Comunicación segura en la web mediante cifrado;FTP – Resolución de nombres de dominio en direcciones IP;DNS – Transmisión segura de archivos entre cliente y servidor;a;3;39;"HTTPS (HyperText Transfer Protocol Secure) es una versión segura de HTTP que cifra la información mediante protocolos como TLS/SSL, garantizando la confidencialidad e integridad de los datos transmitidos en la web.
DNS (Domain Name System) se encarga de traducir nombres de dominio (como google.com) en direcciones IP comprensibles por los dispositivos de red.
FTP (File Transfer Protocol) permite la transferencia de archivos, pero no proporciona cifrado por defecto, a diferencia de su versión segura FTPS o SFTP."
